# Acquisizione Analog Discovery 2
# Timestamp 2025-02-25 12:16:07
# time	ch1	ch2
-1.000000000000000021e-02	-1.466859409539728043e-01	1.091868170742701594e+00
-9.900000000000000813e-03	-1.022275276801127702e-01	1.047558815715397884e+00
-9.799999999999999684e-03	-6.652607459655847377e-02	1.000205306525912885e+00
-9.700000000000000289e-03	-2.442530445085765861e-02	9.538665153904883898e-01
-9.600000000000000894e-03	1.363379176085587584e-02	9.048218094442361803e-01
-9.499999999999999764e-03	5.304011261723183546e-02	8.584830183088115740e-01
-9.400000000000000369e-03	9.547768892409824737e-02	8.087618336598524360e-01
-9.300000000000000974e-03	1.338735912969774011e-01	7.559964948487120084e-01
-9.199999999999999845e-03	1.739535244756845733e-01	7.042458740916320847e-01
-9.100000000000000450e-03	2.153806822990541880e-01	6.467451843615432683e-01
-9.000000000000001055e-03	2.554606154777613325e-01	5.855238617665662337e-01
-8.899999999999999925e-03	2.952037424953029010e-01	5.134788799282784533e-01
-8.800000000000000530e-03	3.346100633516788658e-01	4.143747499817135305e-01
-8.700000000000001135e-03	3.804157012702013563e-01	5.516455884433492385e-02
-8.600000000000000006e-03	4.114018680974371733e-01	-1.670194372409684158e+00
-8.500000000000000611e-03	4.538394444043035714e-01	-1.372881982569989390e+00
-8.400000000000001216e-03	4.945929899053420065e-01	-1.454735905597527745e+00
-8.300000000000000086e-03	5.336625046005523121e-01	-1.504795329597840237e+00
-8.200000000000000691e-03	5.757632747462531064e-01	-1.544369333706195668e+00
-8.099999999999999561e-03	6.158432079249602786e-01	-1.587325731328085521e+00
-8.000000000000000167e-03	6.552495287813362435e-01	-1.631296847004035877e+00
-7.900000000000000772e-03	6.953294619600434157e-01	-1.673576765923218801e+00
-7.800000000000000509e-03	7.327149458494257583e-01	-1.715856684842401725e+00
-7.700000000000000247e-03	7.738052975116297416e-01	-1.757798364410231295e+00
-7.599999999999999985e-03	8.132116183680057064e-01	-1.799401804626707291e+00
-7.500000000000000590e-03	8.536283577078784823e-01	-1.842358202248597143e+00
-7.400000000000000328e-03	8.926978724030888435e-01	-1.884638121167780289e+00
-7.300000000000000065e-03	9.331146117429616194e-01	-1.926241561384256284e+00
-7.200000000000000670e-03	9.758889942109937321e-01	-1.968859719654792784e+00
